Optimising with Parameters: 
 sparsity: 10.0| reg_C: 1.0| reg_W: 1.0| trad: 1.0
 At iteration0|| Error:array([39310.605], dtype=float32)
Patient 19 Optimised 

Patient 20 Optimised 

Patient 21 Optimised 

Patient 22 Optimised 

Patient 23 Optimised 

Patient 24 Optimised 

Patient 25 Optimised 

Patient 26 Optimised 

Patient 27 Optimised 

Patient 28 Optimised 

Patient 29 Optimised 

Patient 30 Optimised 

Patient 31 Optimised 

Patient 32 Optimised 

Patient 33 Optimised 

Patient 34 Optimised 

Patient 35 Optimised 

Patient 36 Optimised 

Patient 37 Optimised 

Patient 38 Optimised 

Patient 39 Optimised 

Patient 40 Optimised 

Patient 41 Optimised 

Patient 42 Optimised 

Patient 43 Optimised 

Patient 44 Optimised 

Patient 45 Optimised 

Patient 46 Optimised 

Patient 47 Optimised 

Patient 48 Optimised 

Patient 49 Optimised 

Patient 50 Optimised 

Patient 51 Optimised 

Patient 52 Optimised 

Patient 53 Optimised 

Patient 54 Optimised 

Patient 55 Optimised 

Patient 56 Optimised 

Patient 57 Optimised 

 Step C || Error: array([18744.479], dtype=float32)

 Step D and lambda || Error: array([17300.826], dtype=float32)

 At iteration1|| Error:array([17300.826], dtype=float32)

Optimise B 

At B iteration 0|| Error:array([17299.693], dtype=float32)

At B iteration 1|| Error:array([17298.572], dtype=float32)

At B iteration 2|| Error:array([17297.459], dtype=float32)

At B iteration 3|| Error:array([17296.36], dtype=float32)

At B iteration 4|| Error:array([17295.271], dtype=float32)

At B iteration 5|| Error:array([17294.2], dtype=float32)

At B iteration 6|| Error:array([17293.135], dtype=float32)

At B iteration 7|| Error:array([17292.084], dtype=float32)

At B iteration 8|| Error:array([17291.04], dtype=float32)

At B iteration 9|| Error:array([17290.01], dtype=float32)

At B iteration 10|| Error:array([17288.992], dtype=float32)

At B iteration 11|| Error:array([17287.986], dtype=float32)

At B iteration 12|| Error:array([17286.988], dtype=float32)

At B iteration 13|| Error:array([17286.004], dtype=float32)

At B iteration 14|| Error:array([17285.023], dtype=float32)

At B iteration 15|| Error:array([17284.059], dtype=float32)

At B iteration 16|| Error:array([17283.104], dtype=float32)

At B iteration 17|| Error:array([17282.156], dtype=float32)

At B iteration 18|| Error:array([17281.223], dtype=float32)

At B iteration 19|| Error:array([17280.297], dtype=float32)

At B iteration 20|| Error:array([17279.383], dtype=float32)

At B iteration 21|| Error:array([17278.479], dtype=float32)

At B iteration 22|| Error:array([17277.584], dtype=float32)

At B iteration 23|| Error:array([17276.701], dtype=float32)

At B iteration 24|| Error:array([17275.826], dtype=float32)

At B iteration 25|| Error:array([17274.959], dtype=float32)

At B iteration 26|| Error:array([17274.102], dtype=float32)

At B iteration 27|| Error:array([17273.254], dtype=float32)

At B iteration 28|| Error:array([17272.416], dtype=float32)

At B iteration 29|| Error:array([17271.588], dtype=float32)

At B iteration 30|| Error:array([17270.768], dtype=float32)

At B iteration 31|| Error:array([17269.957], dtype=float32)

At B iteration 32|| Error:array([17269.15], dtype=float32)

At B iteration 33|| Error:array([17268.355], dtype=float32)

At B iteration 34|| Error:array([17267.568], dtype=float32)

At B iteration 35|| Error:array([17266.79], dtype=float32)

At B iteration 36|| Error:array([17266.018], dtype=float32)

At B iteration 37|| Error:array([17265.26], dtype=float32)

At B iteration 38|| Error:array([17264.504], dtype=float32)

At B iteration 39|| Error:array([17263.756], dtype=float32)

At B iteration 40|| Error:array([17263.016], dtype=float32)

At B iteration 41|| Error:array([17262.285], dtype=float32)

At B iteration 42|| Error:array([17261.562], dtype=float32)

At B iteration 43|| Error:array([17260.846], dtype=float32)

At B iteration 44|| Error:array([17260.135], dtype=float32)

At B iteration 45|| Error:array([17259.434], dtype=float32)

At B iteration 46|| Error:array([17258.742], dtype=float32)

At B iteration 47|| Error:array([17258.053], dtype=float32)

At B iteration 48|| Error:array([17257.375], dtype=float32)

At B iteration 49|| Error:array([17256.701], dtype=float32)

At B iteration 50|| Error:array([17256.035], dtype=float32)

At B iteration 51|| Error:array([17255.373], dtype=float32)

At B iteration 52|| Error:array([17254.723], dtype=float32)

At B iteration 53|| Error:array([17254.076], dtype=float32)

At B iteration 54|| Error:array([17253.438], dtype=float32)

At B iteration 55|| Error:array([17252.803], dtype=float32)

At B iteration 56|| Error:array([17252.178], dtype=float32)

At B iteration 57|| Error:array([17251.557], dtype=float32)

At B iteration 58|| Error:array([17250.943], dtype=float32)

At B iteration 59|| Error:array([17250.336], dtype=float32)

At B iteration 60|| Error:array([17249.734], dtype=float32)

At B iteration 61|| Error:array([17249.14], dtype=float32)

At B iteration 62|| Error:array([17248.553], dtype=float32)

At B iteration 63|| Error:array([17247.969], dtype=float32)

At B iteration 64|| Error:array([17247.389], dtype=float32)

At B iteration 65|| Error:array([17246.818], dtype=float32)

At B iteration 66|| Error:array([17246.254], dtype=float32)

At B iteration 67|| Error:array([17245.697], dtype=float32)

At B iteration 68|| Error:array([17245.143], dtype=float32)

At B iteration 69|| Error:array([17244.594], dtype=float32)

At B iteration 70|| Error:array([17244.049], dtype=float32)

At B iteration 71|| Error:array([17243.512], dtype=float32)

At B iteration 72|| Error:array([17242.977], dtype=float32)

At B iteration 73|| Error:array([17242.451], dtype=float32)

At B iteration 74|| Error:array([17241.932], dtype=float32)

At B iteration 75|| Error:array([17241.416], dtype=float32)

At B iteration 76|| Error:array([17240.906], dtype=float32)

At B iteration 77|| Error:array([17240.398], dtype=float32)

At B iteration 78|| Error:array([17239.898], dtype=float32)

At B iteration 79|| Error:array([17239.4], dtype=float32)

At B iteration 80|| Error:array([17238.91], dtype=float32)

At B iteration 81|| Error:array([17238.422], dtype=float32)

At B iteration 82|| Error:array([17237.941], dtype=float32)

At B iteration 83|| Error:array([17237.467], dtype=float32)

At B iteration 84|| Error:array([17236.994], dtype=float32)

At B iteration 85|| Error:array([17236.525], dtype=float32)

At B iteration 86|| Error:array([17236.064], dtype=float32)

At B iteration 87|| Error:array([17235.607], dtype=float32)

At B iteration 88|| Error:array([17235.15], dtype=float32)

At B iteration 89|| Error:array([17234.705], dtype=float32)

At B iteration 90|| Error:array([17234.26], dtype=float32)

At B iteration 91|| Error:array([17233.818], dtype=float32)

At B iteration 92|| Error:array([17233.383], dtype=float32)

At B iteration 93|| Error:array([17232.953], dtype=float32)

At B iteration 94|| Error:array([17232.525], dtype=float32)

At B iteration 95|| Error:array([17232.102], dtype=float32)

At B iteration 96|| Error:array([17231.682], dtype=float32)

At B iteration 97|| Error:array([17231.268], dtype=float32)

At B iteration 98|| Error:array([17230.855], dtype=float32)

At B iteration 99|| Error:array([17230.45], dtype=float32)

 At final B iteration || Error: array([17230.45], dtype=float32)
Optimise C and weights 

 Step W || Error: array([14563.489], dtype=float32)

Patient 0 Optimised 

Patient 1 Optimised 

Patient 2 Optimised 

Patient 3 Optimised 

Patient 4 Optimised 

Patient 5 Optimised 

Patient 6 Optimised 

Patient 7 Optimised 

Patient 8 Optimised 

Patient 9 Optimised 

Patient 10 Optimised 

Patient 11 Optimised 

Patient 12 Optimised 

Patient 13 Optimised 

Patient 14 Optimised 

Patient 15 Optimised 

Patient 16 Optimised 

Patient 17 Optimised 

Patient 18 Optimised 

Patient 19 Optimised 

Patient 20 Optimised 

Patient 21 Optimised 

Patient 22 Optimised 

Patient 23 Optimised 

Patient 24 Optimised 

Patient 25 Optimised 

Patient 26 Optimised 

Patient 27 Optimised 

Patient 28 Optimised 

Patient 29 Optimised 

Patient 30 Optimised 

Patient 31 Optimised 

Patient 32 Optimised 

Patient 33 Optimised 

Patient 34 Optimised 

Patient 35 Optimised 

Patient 36 Optimised 

Patient 37 Optimised 

Patient 38 Optimised 

Patient 39 Optimised 

Patient 40 Optimised 

Patient 41 Optimised 

Patient 42 Optimised 

Patient 43 Optimised 

Patient 44 Optimised 

Patient 45 Optimised 

Patient 46 Optimised 

Patient 47 Optimised 

Patient 48 Optimised 

Patient 49 Optimised 

Patient 50 Optimised 

Patient 51 Optimised 

Patient 52 Optimised 

Patient 53 Optimised 

Patient 54 Optimised 

Patient 55 Optimised 

Patient 56 Optimised 

Patient 57 Optimised 

 Step C || Error: array([12927.083], dtype=float32)

 Step D and lambda || Error: array([12919.677], dtype=float32)

 At iteration2|| Error:array([12919.677], dtype=float32)

Optimise B 

